name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
IFNG,4.9e-21,ligand,review,no,yes,no,1,yes,non_urothelial,non_urothelial,High,High,188,0.412122807094022,59.417896131747,0.00196078431372549,0.412122807094021,1,1,FALSE,-0.199996957783492,2,Consistent,High_High,Other,2
IL10,3.9e-31,ligand,review,no,no,no,0,no,non_urothelial,non_urothelial,High,High,226,0.478742487832848,106.732690128651,0.00203665987780041,0.478742487832847,1,1,FALSE,-0.405964713326419,0,Consistent,High_High,Other,2
IL15,5.6e-22,non_urothelial,review,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,124,0.263712522814132,17.596398895802,0.0018450184501845,0.263712522814132,1,1,FALSE,-0.295387559080939,0,Consistent,Medium_Medium,Non-urothelial,2
IL1B,2.6e-18,missing,review,yes,yes,no,2,yes,uro_cells,uro_cells,Medium,Low,278,0.592990175150191,186.215525437108,0.0021505376344086,0.59299017515019,1,1,FALSE,0.135533009672104,3,Consistent,Low_Medium,Other,2
IL6,1.4e-33,non_urothelial,review,yes,no,no,1,yes,non_urothelial,non_urothelial,Medium,Medium,356,0.720830063937756,405.698393051572,0.00234741784037559,0.720830063937754,1,1,FALSE,-0.137462120784465,1,Consistent,Medium_Medium,Non-urothelial,2
IL7,4.9e-11,non_urothelial,review,no,no,no,0,no,non_urothelial,non_urothelial,High,High,140,0.298337960938392,28.0784063391366,0.00187265917602996,0.298337960938391,1,1,FALSE,-0.170618590648421,0,Consistent,High_High,Non-urothelial,2
IRS1,6.9e-70,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Low,246,0.531778328007827,151.164374806253,0.00207900207900208,0.531778328007827,2,2,TRUE,-0.0173306256931448,0,Consistent,Low_Low,Urothelial,0
ITGB2,1.3e-35,non_urothelial,no,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,94,0.191867244637001,19.9630665452389,0.00179533213644524,0.191867244637,2,3,TRUE,0.254122353868057,0,Consistent,Medium_Medium,Non-urothelial,0
JAK2,1.7e-11,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,280,0.597337794884638,209.218448943619,0.0021551724137931,0.597337794884638,1,1,FALSE,-0.47086822506493,0,Consistent,Medium_Medium,Urothelial,0
LYN,9.3e-31,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,204,0.427004781260964,106.169600660778,0.00199203187250996,0.427004781260962,2,3,TRUE,-0.35491812716735,0,Inconsistent,Low_Low,Urothelial,0
