name,label,expression,degree.x,betweenness.x,closeness.x,eigenvector.x,degree.y,is_signature,betweenness.y,closeness.y,eigenvector.y,hub_score,authority_score,community,mean_expr_UroB,mean_expr_GU,mean_expr_UroA,mean_expr_BaSq,mean_expr_UroC,go_pval,go_padj,go_description,go_hub_score,go_rank,module,in_signature_module,random_walk_score
CAV1,CAV1,0.472416022367582,210,130.153923624883,0.00200400801603206,0.452988068601958,210,FALSE,130.153923624883,0.00200400801603206,0.452988068601958,0.452988068601958,0.452988068601958,4,-0.408049341684502,-0.16156318448276,-0.478698665273285,1.0399832856752,0.472416022367582,3.86703594353998e-36,1.15624374711845e-33,urinary bladder cancer; bladder carcinoma,0.452988068601958,28,5,FALSE,0.00284965974224701
CCL2,CCL2,0.272847746067993,180,49.8519551196934,0.00194552529182879,0.401672415238595,180,FALSE,49.8519551196934,0.00194552529182879,0.401672415238594,0.401672415238595,0.401672415238594,1,0.234646536973496,0.117892147045794,-0.763108901018797,0.712572067984171,0.272847746067993,1.48509439404472e-50,4.44043223819372e-48,Not annotated,0.401672415238595,8,1,FALSE,0.00147282519703642
CCNA2,CCNA2,-0.439474649849291,108,14.0307422616285,0.00181818181818182,0.239799097824334,108,FALSE,14.0307422616285,0.00181818181818182,0.239799097824334,0.239799097824334,0.239799097824333,3,-0.210992556313551,0.7955907960597,-0.424192124149493,0.647470592611836,-0.439474649849291,3.89860062164356e-34,1.16568158587142e-31,Not annotated,0.239799097824334,33,4,FALSE,0.00237072101828717
CCNB1,CCNB1,-0.23954033740764,112,17.4767626173497,0.00182481751824818,0.243401459466407,112,FALSE,17.4767626173497,0.00182481751824818,0.243401459466407,0.243401459466407,0.243401459466407,3,-0.237555911416253,0.735177390665443,-0.388814076070599,0.774133490193565,-0.23954033740764,3.15858005931763e-32,9.44415437735972e-30,Not annotated,0.243401459466407,39,4,FALSE,0.00236439245431027
CCND1,CCND1,-0.259779364042628,306,267.81840945977,0.00221729490022173,0.62274937219583,306,FALSE,267.81840945977,0.00221729490022173,0.622749372195831,0.622749372195832,0.62274937219583,3,0.400644970477685,-0.894177995310131,0.547006718308395,-0.0892280625939684,-0.259779364042628,1.1543468322624e-41,3.45149702846458e-39,urinary bladder cancer; bladder carcinoma,0.622749372195832,17,4,FALSE,0.005413162614874
CD247,CD247,0.430027603759222,92,11.9638863807427,0.0017921146953405,0.203155454165144,92,FALSE,11.9638863807427,0.0017921146953405,0.203155454165144,0.203155454165144,0.203155454165144,1,0.170017532161596,0.0394924493105608,-0.648291945509773,0.372858969845951,0.430027603759222,2.32400140403568e-29,6.94876419806669e-27,Not annotated,0.203155454165144,46,1,FALSE,0.00225974509725843
CD274,CD274,-0.383924177997097,136,28.6805776935001,0.00186567164179104,0.316576490310092,136,FALSE,28.6805776935001,0.00186567164179104,0.316576490310092,0.316576490310092,0.316576490310092,1,0.158050239231618,0.157280288542028,-0.590068320147259,0.955570320846244,-0.383924177997097,3.57033257155719e-38,1.0675294388956e-35,Not annotated,0.316576490310092,21,1,FALSE,0.00242967848993905
CD34,CD34,0.65959455825712,206,92.1681939358698,0.00199600798403194,0.454035309222824,206,FALSE,92.1681939358698,0.00199600798403194,0.454035309222824,0.454035309222825,0.454035309222824,1,-0.0858011048906013,-0.0337547480552869,-0.432504831635397,-0.0833770719625725,0.65959455825712,6.6609422237158e-11,1.99162172489103e-08,Not annotated,0.454035309222825,117,1,FALSE,0.00278108479134844
CD44,CD44,-0.299430516590087,288,244.122787290934,0.00217391304347826,0.600845684751402,288,FALSE,244.122787290934,0.00217391304347826,0.600845684751402,0.600845684751404,0.600845684751403,4,0.227249824939191,-1.08004587050628,0.0236252837888723,1.04113584199263,-0.299430516590087,1.91926102743494e-50,5.73859047203047e-48,urinary bladder cancer,0.600845684751404,9,5,FALSE,0.00515065046821472
CD8A,CD8A,0.1912754036352,216,91.9061575612973,0.00201612903225806,0.478818148322215,216,FALSE,91.9061575612973,0.00201612903225806,0.478818148322214,0.478818148322215,0.478818148322214,1,0.0339198968637051,-0.0792009266821455,-0.533439753869168,0.552289284915979,0.1912754036352,1.38381920947438e-19,4.13761943632838e-17,Not annotated,0.478818148322215,90,1,FALSE,0.0027855609504461
CDKN1A,CDKN1A,-0.250948412267402,162,35.4776900626472,0.00191204588910134,0.36720889097506,162,FALSE,35.4776900626472,0.00191204588910134,0.36720889097506,0.36720889097506,0.36720889097506,3,0.0622134783566483,-0.614397471253039,0.440900690432234,0.00607267457731317,-0.250948412267402,7.7501387635392e-19,2.31729149029822e-16,urinary bladder cancer,0.36720889097506,95,4,FALSE,0.00261215626326912
CDKN2A,CDKN2A,-0.258599374995325,222,105.481111620029,0.00202839756592292,0.495813209357435,222,FALSE,105.481111620029,0.00202839756592292,0.495813209357434,0.495813209357435,0.495813209357434,3,-0.409949415388701,0.830575808757518,-0.318232324782598,-0.0302807301227239,-0.258599374995325,2.7539268544038e-25,8.23424129466737e-23,urinary bladder cancer; bladder carcinoma,0.495813209357435,71,4,FALSE,0.00494909852868859
CREB1,CREB1,-0.234656608631951,176,64.3403927525432,0.00193798449612403,0.407786408148844,176,FALSE,64.3403927525432,0.00193798449612403,0.407786408148844,0.407786408148844,0.407786408148843,3,0.221154755117831,-0.778932381031658,0.287236025734213,-0.163234209775072,-0.234656608631951,4.84224970169638e-19,1.44783266080722e-16,Not annotated,0.407786408148844,93,4,FALSE,0.00153617709028831
CSF1,CSF1,0.0764931312574488,152,45.984988686656,0.00189393939393939,0.341414727063615,152,FALSE,45.984988686656,0.00189393939393939,0.341414727063614,0.341414727063615,0.341414727063614,1,0.221298440557915,-0.280403590904638,-0.61698230258249,0.639623200672105,0.0764931312574488,3.90802465017527e-34,1.16849937040241e-31,bladder disease,0.341414727063615,34,1,FALSE,0.00444604383719857
CSF2,CSF2,-0.249964667927997,212,80.5404444929576,0.00200803212851406,0.476609456920208,212,FALSE,80.5404444929576,0.00200803212851406,0.476609456920207,0.476609456920208,0.476609456920207,1,0.168760190438373,0.0863993388298973,-0.410519856223323,0.755041607287187,-0.249964667927997,1.30539006348657e-20,3.90311628982484e-18,bladder disease,0.476609456920208,85,1,FALSE,0.00274415578819816
CSF3,CSF3,-0.372360207996942,144,25.0967724264301,0.0018796992481203,0.316318170201738,144,FALSE,25.0967724264301,0.0018796992481203,0.316318170201738,0.316318170201738,0.316318170201738,1,0.0941531265764767,-0.15785303942644,-0.398480650356869,0.8209799872314,-0.372360207996942,6.21556182491425e-28,1.85845298564936e-25,bladder disease,0.316318170201738,55,1,FALSE,0.00132855881913163
