gene_symbol	ensembl_gene_id	description	module	degree	hub_score	rwr_score	max_diff	padj	protein_atlas	receptor	uro_receptor	keep	go_bladder_disease	go_urinary_bladder_cancer	go_bladder_carcinoma	go_count	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	scRNA_normal_class	scRNA_normal_conf_score	scRNA_normal_conf_level	scRNA_cancer_class	scRNA_cancer_conf_score	scRNA_cancer_conf_level
TLR4	ENSG00000136869	toll like receptor 4	1	218	0.46	0.0017	1.37	1.50E-37	uro_cells	NA	NA	yes	no	no	no	0	no	0.544	0.152	-0.554	-0.825	-0.514	non_urothelial	3.45	Medium	non_urothelial	3.65	Low
TNFRSF1A	ENSG00000067182	TNF receptor superfamily member 1A	1	138	0.3	0.00128	1.05	2.90E-12	uro_cells	NA	NA	yes	no	no	no	0	no	0.106	0.543	-0.3	-0.507	0.351	uro_cells	1.36	Low	uro_cells	2.07	Medium
TRAF6	ENSG00000175104	TNF receptor associated factor 6	1	162	0.35	0.00145	1.2	1.80E-22	uro_cells	NA	NA	yes	no	no	no	0	no	0.486	-0.026	-0.187	-0.71	-0.217	non_urothelial	3.73	Medium	non_urothelial	3.28	Low
ANGPT1	ENSG00000154188	angiopoietin 1	2	134	0.31	0.00448	1.04	4.70E-18	uro_cells	NA	NA	yes	no	no	no	0	no	-0.513	-0.276	0.226	-0.012	0.528	non_urothelial	3.96	High	non_urothelial	3.79	Medium
EREG	ENSG00000124882	epiregulin	2	108	0.24	0.00448	1.58	3.10E-34	uro_cells	NA	NA	yes	no	no	no	0	no	-0.442	-0.185	-0.42	0.309	1.142	non_urothelial	3.65	Medium	non_urothelial	3.36	Low
FGFR1	ENSG00000077782	fibroblast growth factor receptor 1	2	194	0.4	0.00439	1.27	4.00E-15	uro_cells	NA	NA	yes	no	no	no	0	no	-0.542	-0.287	0.727	-0.061	0.006	non_urothelial	3.19	Low	non_urothelial	3.93	Medium
FGFR3	ENSG00000068078	fibroblast growth factor receptor 3	2	172	0.36	0.00223	1.28	1.90E-37	uro_cells	NA	NA	yes	no	yes	yes	2	yes	0.642	0.448	0.163	-0.637	-0.329	non_urothelial	3.16	Low	non_urothelial	3.04	Low
FGFR4	ENSG00000160867	fibroblast growth factor receptor 4	2	128	0.27	0.00198	1.03	2.30E-06	uro_cells	NA	NA	yes	no	no	no	0	no	-0.351	-0.269	0.677	0.035	-0.113	non_urothelial	3.98	High	non_urothelial	4.00	High
GAB2	ENSG00000033327	GRB2 associated binding protein 2	2	134	0.29	0.00146	1.03	4.30E-17	uro_cells	NA	NA	yes	no	no	no	0	no	-0.321	-0.467	0.121	0.566	-0.455	non_urothelial	3.83	Medium	non_urothelial	3.74	Medium
IRS1	ENSG00000169047	insulin receptor substrate 1	2	246	0.53	0.00514	1.85	6.90E-70	uro_cells	NA	NA	yes	no	no	no	0	no	0.67	0.332	-0.017	-1.182	-0.167	non_urothelial	2.32	Low	non_urothelial	3.70	Low
NGFR	ENSG00000064300	nerve growth factor receptor	2	152	0.32	0.0017	1.16	3.30E-25	uro_cells	NA	NA	yes	yes	no	no	1	yes	-0.516	-0.113	0.186	-0.273	0.648	non_urothelial	3.95	High	non_urothelial	4.00	High
NRAS	ENSG00000213281	NRAS proto-oncogene, GTPase	2	246	0.49	0.00531	1.19	1.00E-11	uro_cells	NA	NA	yes	no	no	no	0	no	-0.102	-0.404	-0.692	0.5	0.486	non_urothelial	2.75	Low	uro_cells	1.44	Medium
PIK3CD	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	2	168	0.33	0.00468	1.09	2.60E-26	uro_cells	NA	NA	yes	no	no	no	0	no	-0.59	0.122	0.22	-0.229	0.498	non_urothelial	3.94	High	non_urothelial	4.00	High
PIK3CG	ENSG00000105851	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	2	108	0.24	0.0013	1	7.50E-23	uro_cells	NA	NA	yes	no	no	no	0	no	-0.546	0.153	0.11	-0.22	0.454	non_urothelial	3.96	High	non_urothelial	4.00	High
PIK3R2	ENSG00000105647	phosphoinositide-3-kinase regulatory subunit 2	2	204	0.4	0.00497	1.19	5.90E-27	uro_cells	NA	NA	yes	no	no	no	0	no	0.589	0.211	-0.105	-0.477	-0.603	non_urothelial	3.92	High	non_urothelial	3.80	Medium
PRKCZ	ENSG00000067606	protein kinase C zeta	2	134	0.29	0.0014	1.18	1.60E-35	uro_cells	NA	NA	yes	no	no	no	0	no	0.628	0.255	-0.291	-0.116	-0.556	non_urothelial	3.65	Medium	non_urothelial	2.96	Low
RPS27A	ENSG00000143947	ribosomal protein S27a	2	196	0.38	0.00494	1.02	4.20E-14	uro_cells	NA	NA	yes	no	no	no	0	no	0.39	0.061	0.053	-0.628	-0.074	uro_cells	2.71	High	uro_cells	3.99	High
