"node_id","node_label","expression","degree","is_signature","betweenness","closeness","eigenvector","hub_score","authority_score","community","mean_expr_UroB","mean_expr_GU","mean_expr_UroA","mean_expr_BaSq","mean_expr_UroC","go_pval","go_padj","go_description","go_hub_score","go_rank","module","in_signature_module","random_walk_score"
"LYN","LYN",-0.35491812716735,204,FALSE,106.169600660778,0.00199203187250996,0.427004781260962,0.427004781260964,0.427004781260962,2,0.129920624601731,0.254797138464607,-0.611565797524475,0.748410496370672,-0.35491812716735,3.10544410147261e-33,9.28527786340312e-31,"Not annotated",0.427004781260964,37,3,TRUE,0.00177458123818128
"MAP2K1","MAP2K1",-0.196649742581859,206,FALSE,108.900487757857,0.00199600798403194,0.460623172159454,0.460623172159454,0.460623172159454,3,-0.073085787907144,0.273878285466474,-0.162587442436453,0.143382107765693,-0.196649742581859,,,,,,,,
"MAPK1","MAPK1",-0.152702737836253,294,FALSE,285.40311653534,0.00218818380743982,0.594710866517168,0.594710866517168,0.594710866517167,3,-0.0667961980218705,-0.475464250759539,0.334585759295458,0.00676463311412215,-0.152702737836253,,,,,,,,
"MAPK14","MAPK14",-0.574991778346121,218,FALSE,128.668105866445,0.00202020202020202,0.475037202556384,0.475037202556385,0.475037202556384,3,-0.189260699169701,-0.200512563031476,0.223205180470457,0.244303050555401,-0.574991778346121,,,,,,,,
"MAPK3","MAPK3",0.255071540454685,416,FALSE,690.198579410622,0.00252525252525253,0.798164152237349,0.798164152237351,0.798164152237349,3,-0.293508166882662,0.653161230104929,-0.402721964651015,-0.10669212659742,0.255071540454685,4.86327889410128e-19,1.45412038933628e-16,"Not annotated",0.798164152237351,94,4,FALSE,0.00590587434083443
"MAPK8","MAPK8",-0.158664808514155,232,FALSE,142.023431562904,0.00204918032786885,0.501554294170351,0.501554294170351,0.50155429417035,3,-0.183906548009769,0.0457623617226019,-0.113477895010246,0.221429362566365,-0.158664808514155,,,,,,,,
"MAPK9","MAPK9",-0.502496392978623,114,FALSE,24.8442095743463,0.00182815356489945,0.262837113059994,0.262837113059994,0.262837113059994,3,-0.118484010171937,0.0181384055396295,0.137089581377801,-0.19407797202463,-0.502496392978623,,,,,,,,
"MAPT","MAPT",0.676653217275698,82,FALSE,13.8908928037703,0.00177619893428064,0.178980188927291,0.178980188927291,0.178980188927291,3,-0.330571821252764,0.231864404084712,-0.228443543197661,-0.274367950339648,0.676653217275698,2.8341209882589e-10,8.47402175489412e-08,"Not annotated",0.178980188927291,119,3,TRUE,0.00116175170927055
"MCL1","MCL1",-0.596428339896535,124,FALSE,18.0546181659608,0.0018450184501845,0.297330965270832,0.297330965270832,0.297330965270832,3,0.146268767981704,0.182837005884077,-0.546948199791743,0.86385292960178,-0.596428339896535,8.05363759365927e-32,2.40803764050412e-29,"Not annotated",0.297330965270832,41,4,FALSE,0.00238554515582317
"MDM2","MDM2",-0.148926242648882,194,FALSE,90.5355806460746,0.0019723865877712,0.403569978723152,0.403569978723152,0.403569978723151,3,0.33418412199218,-0.0888685898453796,0.0700432476319468,-0.0876050197248014,-0.148926242648882,,,,,,,,
"MET","MET",-0.0680567742714556,228,FALSE,137.065254247224,0.00204081632653061,0.496816063288195,0.496816063288195,0.496816063288195,2,0.172183797419827,-0.323106568662884,0.357741310223916,0.432094813759468,-0.0680567742714556,,,,,,,,
